DISKBUSY,Disk %Busy raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKREAD,Disk Read KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKWRITE,Disk Write KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKXFER,Disk transfers per second raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKBSIZE,Disk Block Size raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKWRITE,T0016,79.9,0.0,79.9
DISKXFER,T0016,4.6,0.0,4.6
DISKBSIZE,T0016,29.2,0.0,29.2
DISKBUSY,T0017,0.8,0.0,0.8
DISKREAD,T0017,39.2,0.0,39.2
DISKWRITE,T0017,13.6,0.0,13.6
DISKXFER,T0017,6.2,0.0,6.2
DISKBSIZE,T0017,8.5,0.0,8.5
DISKBUSY,T0018,0.4,0.0,0.4
DISKREAD,T0018,22.4,0.0,22.4
DISKWRITE,T0018,19.2,0.0,19.2
DISKXFER,T0018,2.4,0.0,2.4
DISKBSIZE,T0018,17.3,0.0,17.3
DISKBUSY,T0019,0.4,0.0,0.4
DISKREAD,T0019,4.0,0.0,4.0
DISKWRITE,T0019,32.0,0.0,32.0
DISKXFER,T0019,3.4,0.0,3.4
DISKBSIZE,T0019,10.6,0.0,10.6
DISKBUSY,T0020,0.4,0.0,0.4
DISKREAD,T0020,33.6,0.0,33.6
DISKWRITE,T0020,4.0,0.0,4.0
DISKXFER,T0020,2.6,0.0,2.6
DISKBSIZE,T0020,14.5,0.0,14.5
DISKBUSY,T0021,2.8,0.0,2.8
DISKREAD,T0021,357.4,0.0,357.4
DISKWRITE,T0021,32.0,0.0,32.0
DISKXFER,T0021,19.0,0.0,19.0
DISKBSIZE,T0021,20.5,0.0,20.5
DISKBUSY,T0022,7.4,0.0,7.2
DISKREAD,T0022,742.6,0.0,742.6
DISKWRITE,T0022,74.3,0.0,74.3
DISKXFER,T0022,49.4,0.0,49.4
DISKBSIZE,T0022,16.6,0.0,16.6
DISKBUSY,T0023,0.0,0.0,0.2
DISKREAD,T0023,0.0,0.0,0.0
DISKWRITE,T0023,3.2,0.0,3.2
DISKXFER,T0023,0.4,0.0,0.4
DISKBSIZE,T0023,8.0,0.0,8.0
DISKBUSY,T0024,0.2,0.0,0.2
DISKREAD,T0024,0.0,0.0,0.0
DISKWRITE,T0024,2.4,0.0,2.4
DISKXFER,T0024,0.6,0.0,0.6
DISKBSIZE,T0024,4.0,0.0,4.0
DISKBUSY,T0025,0.8,0.0,0.8
DISKREAD,T0025,0.0,0.0,0.0
DISKWRITE,T0025,44.8,0.0,44.8
DISKXFER,T0025,6.8,0.0,6.8
DISKBSIZE,T0025,6.6,0.0,6.6
DISKBUSY,T0026,0.0,0.0,0.0
DISKREAD,T0026,3.2,0.0,3.2
DISKWRITE,T0026,0.0,0.0,0.0
DISKXFER,T0026,0.2,0.0,0.2
DISKBSIZE,T0026,16.0,0.0,16.0
DISKBUSY,T0027,0.6,0.0,0.4
DISKREAD,T0027,12.8,0.0,12.8
DISKWRITE,T0027,32.0,0.0,32.0
DISKXFER,T0027,3.8,0.0,3.8
DISKBSIZE,T0027,11.8,0.0,11.8
DISKBUSY,T0028,16.4,0.0,29.8
DISKREAD,T0028,9340.0,0.0,9340.0
DISKWRITE,T0028,88.7,0.0,88.7
DISKXFER,T0028,524.0,0.0,524.0
DISKBSIZE,T0028,18.0,0.0,18.0
DISKBUSY,T0029,21.0,0.0,27.8
DISKREAD,T0029,12541.6,0.0,12541.6
DISKWRITE,T0029,4.8,0.0,4.8
DISKXFER,T0029,645.1,0.0,645.1
DISKBSIZE,T0029,19.4,0.0,19.4
DISKBUSY,T0030,18.0,0.0,27.2
DISKREAD,T0030,10394.1,0.0,10394.1
DISKWRITE,T0030,4.0,0.0,4.0
DISKXFER,T0030,597.4,0.0,597.4
DISKBSIZE,T0030,17.4,0.0,17.4
DISKBUSY,T0031,46.8,0.0,59.6
DISKREAD,T0031,10438.1,0.0,10438.1
DISKWRITE,T0031,1623.6,0.0,1623.6
DISKXFER,T0031,590.8,0.0,590.8
DISKBSIZE,T0031,20.4,0.0,20.4
DISKBUSY,T0032,23.8,0.0,42.2
DISKREAD,T0032,13650.5,0.0,13650.5
DISKWRITE,T0032,63.2,0.0,63.2
DISKXFER,T0032,436.3,0.0,436.3
DISKBSIZE,T0032,31.4,0.0,31.4
DISKBUSY,T0033,2.6,0.0,2.8
DISKREAD,T0033,1265.9,0.0,1265.9
DISKWRITE,T0033,20.8,0.0,20.8
DISKXFER,T0033,47.4,0.0,47.4
DISKBSIZE,T0033,27.2,0.0,27.2
DISKBUSY,T0034,7.6,0.0,12.8
DISKREAD,T0034,3140.0,0.0,3140.0
DISKWRITE,T0034,130.4,0.0,130.4
DISKXFER,T0034,115.4,0.0,115.4
DISKBSIZE,T0034,28.3,0.0,28.3
DISKBUSY,T0035,11.4,0.0,17.6
DISKREAD,T0035,6133.6,0.0,6133.6
DISKWRITE,T0035,4.8,0.0,4.8
DISKXFER,T0035,361.7,0.0,361.7
DISKBSIZE,T0035,17.0,0.0,17.0
DISKBUSY,T0036,23.6,0.0,45.0
